#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
CLAAP,Manipulation d'arbres syntaxiques et contruction de programmes (Résumé). (2),Delayed evaluation trees and their application to sementics (Additif). (2),On the analysis of tree-matching algorithms. (2),Unfolding Omega nets into trees (Résumé). (2),A schematalogical approach to the alalysis of the procedure concept in algol-languages. (2),Unfolding Omega nets into trees. (2),Séries formelles reconnaissables d'arbres et applications. (2),A criterion common to various continuous completions of albegras and X-categories. (2),Manipulation d'arbres syntaxiques et contruction de programmes. (2),Preuves de programmes sans induction. (2),Delayed evaluation trees and their application to sementics. (2),Programming languages as abstract data types. (2),Regular extensions of iterative algebras and metric interpretations. (2)
CLAR,Goal-Driven Structured Argumentation for Patient Management in a Multimorbidity Setting. (5)
CLAWAR,Recent Developments in Implantable and Surface Based Dropped Foot Functional Electrical Stimulators. (13)
CLBib@ISSI,Classification of Research Citations (CRC). (6)
CLEAR,Audio, Video and Multimodal Person Identification in a Smart Room. (10)
CLEI Selected Papers,MultiS: A Context-Server for Pervasive Computing. (6),Detecting Similar Areas of Knowledge Using Semantic and Data Mining Technologies. (6)
CLIP,Automatic Detection and Quantification of Mitral Regurgitation on TTE with Application to Assist Mitral Clip Planning and Evaluation. (11)
CLIP@MICCAI,Ultrasound-Based Predication of Prostate Cancer in MRI-guided Biopsy. (16)
CLLRD@LREC,Leveraging Non-Specialists for Accurate and Time Efficient AMR Annotation. (4),Proceedings of the LREC 2020 Workshop on Citizen Linguistics in Language Resource Development, CLLRD@LREC 2020, Marseille, France, May 2020 (4),Objective Assessment of Subjective Tasks in Crowdsourcing Applications. (4),LanguageARC: Developing Language Resources Through Citizen Linguistics. (4)
CLOSER (2),Integrated Energy Efficient Data Centre Management for Green Cloud Computing - The FP7 GENiC Project Experience. (11)
CLUSTER,Blue Gene/L, a System-On-A-Chip. (65)
CLUSTER Workshops,ERMS: An Elastic Replication Management System for HDFS. (8)
CMA@MoDELS,Proceedings of the Fourth International Comparing Modeling Approaches Workshop 2013 co-located with the ACM/IEEE 16th International Conference on Model Driven Engineering Languages and Systems ( MODELS 2013), Miami, Florida, USA, October 1, 2013. (6)
CMCL,Dynamic encoding of structural uncertainty in gradient symbols. (4),Why is English so easy to segment? (4),Phonological (un)certainty weights lexical activation. (4),Proceedings of the 8th Workshop on Cognitive Modeling and Computational Linguistics, CMCL 2018, Salt Lake City, Utah, USA, January 7, 2018 (4),Experiential, Distributional and Dependency-based Word Embeddings have Complementary Roles in Decoding Brain Activity. (4)
CMCL@ACL,A Usage-Based Model of Early Grammatical Development. (5)
CMCL@NAACL-HLT,Modeling fMRI time courses with linguistic structure at various grain sizes. (4)
CMMI/RAMBO/SWITCH@MICCAI,Molecular Imaging, Reconstruction and Analysis of Moving Body Organs, and Stroke Imaging and Treatment - Fifth International Workshop, CMMI 2017, Second International Workshop, RAMBO 2017, and First International Workshop, SWITCH 2017, Held in Conjunction with MICCAI 2017, Québec City, QC, Canada, September 14, 2017, Proceedings (14)
CMSB,Inferring Mechanism of Action of an Unknown Compound from Time Series Omics Data. (21)
CMSEBA@MoDELS,Graph Query by Example. (4),Design-Space Exploration in MDE: An Initial Pattern Catalogue. (4),CMSEBA 2014 Workshop Report. (4),EXEMPLAR: an Experimental Information Repository for SBSE Research. (4)
CNI@MICCAI,Heritability Estimation of Reliable Connectomic Features. (10)
CNL,On Controlled Natural Languages: Properties and Prospects. (10)
CNL (Pre-Proceedings),Controlled Natural Language for Clinical Practice Guidelines. (6)
CNSA,Comparative Analysis of Formal Model Checking Tools for Security Protocol Verification. (6),Security for Contactless Smart Cards Using Cryptography. (6),Trust Management Framework for Ubiquitous Applications. (6)
CNSM,Online workflow management and performance analysis with Stampede. (11),Performance benchmarking of a software-based LTE SGW. (11)
COCOA (1),A Parallel Construction of Vertex-Disjoint Spanning Trees with Optimal Heights in Star Networks. (6),PTAS for Minimum Connected Dominating Set with Routing Cost Constraint in Wireless Sensor Networks. (6)
COD-Verlag,Control flow graphs for real-time systems analysis: reconstruction from binary executables and usage in ILP-based path analysis. (1)
CODAS,Management of QoS for Real-Time Shared Three Dimensional Virtual Spaces. (10)
CODASPY,Deep Android Malware Detection. (11)
CODS Companion Volume,TraffTrend: Real time traffic updates and traffic trends using social media analytics. (5),STAR: Real-time Spatio-Temporal Analysis and Prediction of Traffic Insights using Social Media. (5)
COGAIN@ETRA,Moveye: gaze control of video playback. (7)
COIN@AAMAS,Shared Strategies in Artificial Agent Societies. (4),Norm Emergence through Dynamic Policy Adaptation in Scale Free Networks. (4),Towards a General Model for Adapting Structure while Maintaining Topology: Pipelines. (4),Norm Contextualization. (4)
COIN@AAMAS&IJCAI&MALLOW,Coordination, Organizations, Institutions and Norms in Agent Systems V, COIN 2009 International Workshops. COIN@AAMAS 2009, Budapest, Hungary, May 2009, COIN@IJCAI 2009, Pasadena, USA, July 2009, COIN@MALLOW 2009, Turin, Italy, September 2009. Revised Selected Papers (7)
COIN@AAMAS/PRICAI,The Power of Teams that Disagree: Team Formation in Large Action Spaces. (5),Mirror Worlds as Agent Societies Situated in Mixed Reality Environments. (5)
COINS,AITIA: Embedded AI Techniques for Embedded Industrial Applications. (13)
COIS,An experimental multi-media bridging system. (4),OTM: specifying office tasks. (4)
COLD,Using Linked Data and Web APIs for Automating the Pre-processing of Medical Images. (9)
COLING-ACL,Natural Language Access to Software Applications. (8)
COM.Geo,GeoTempo: a modular, end-to-end OGC sensor web. (15)
COMAD,CRM Analytics Framework. (11)
COMAD/CODS,Fast Online 'Next Best Offers' using Deep Learning. (8)
COMHPC@SC,Scalable Hierarchical Aggregation Protocol (SHArP): A Hardware Architecture for Efficient Data Reduction. (16)
COMHUM,Modelling vagueness - A criteria-based system for the qualitative assessment of reading proposals for the deciphering of Classic Mayan hieroglyphs. (8)
COMMA,A Demonstration of Multi-Party Dialogue Using Virtual Coaches: The First Council of Coaches Demonstrator. (11)
COMNET,Simulation and performance evaluation of DAG construction with RPL. (6),Weighted grid authorization graph (WGAG). (6)
COMP@SIGSPATIAL,Extracting Semantics of Individual Places from Movement Data by Analyzing Temporal Patterns of Visits. (6)
COMPARE,Proceedings of the 1st International Workshop on Comparative Empirical Evaluation of Reasoning Systems, Manchester, United Kingdom, June 30, 2012 (4)
COMPASS,Empirical Analysis of the Presence of Power Elite in Media. (15)
COMPLEX NETWORKS (1),Node Ordering for Rescalable Network Summarization (or, the Apparent Magic of Word Frequency and Age of Acquisition in the Lexicon). (7),Using Network Reliability to Understand International Food Trade Dynamics. (7)
COMPLEXIS,Analysis on the Graph Techniques for Data-mining and Visualization of Heterogeneous Biodiversity Data Sets. (10)
COMPSAC (1),2018 IEEE 42nd Annual Computer Software and Applications Conference, COMPSAC 2018, Tokyo, Japan, 23-27 July 2018, Volume 1 (15),41st IEEE Annual Computer Software and Applications Conference, COMPSAC 2017, Turin, Italy, July 4-8, 2017. Volume 1 (15),43rd IEEE Annual Computer Software and Applications Conference, COMPSAC 2019, Milwaukee, WI, USA, July 15-19, 2019, Volume 1 (15)
COMSWARE,PASTA: Deriving Rich Presence for Converged Telecommunications Network Applications. (9)
CONFENIS,Pattern Discovery from Big Data of Food Sampling Inspections Based on Extreme Learning Machine. (7),A Case-Base Approach to Workforces' Satisfaction Assessment. (7)
CONFENIS (1),A Study on the Relationship Between ERP Logic and Direct Consume Coefficient of I/O Table. (6)
CONIELECOMP,A PicoBlaze-Based Embedded System for Monitoring Applications. (14)
CONPAR,SYDAMA II: A Heterogeneous Multiprocessor System for Real Time Image Processing. (8),Parallel Algorithms on the CEDAR System. (8)
CONTEXT,Context and Interference Effects in the Combinations of Natural Concepts. (7),ReCQ: Real-World Context-Aware Querying. (7)
CONTEXT Workshop on Safety and Context,Gaps between rules and uses of the road. (4)
CONVERSATIONS,Towards Chatbots to Support Bibliotherapy Preparation and Delivery. (8)
COOMPL@ECOOP,Wringing out objects for programming and modeling component-based systems. (4)
COOP,Memetic: An Infrastructure for Meeting Memory. (12)
COOS@AAMAS,ADOVA: Anomaly Detection in Online and Virtual spAces. (5)
COOTS,Efficient Implementation of Java Remote Method Invocation (RMI). (7)
COP@ECOOP,Enterprise context: a rich source of requirements for context-oriented programming. (10)
COREF@ACL,Orthographic Co-Reference Resolution Between Proper Nouns Through the Calculation of the Relation of "Replicancia". (4),Identification of Coreference Between Names and Faces. (4)
CORES,Defect Detection in Furniture Elements with the Hough Transform Applied to 3D Data. (9)
CORIA-TALN-RJC (DeFT),DEFT2018 : recherche d'information et analyse de sentiments dans des tweets concernant les transports en Île de France (DEFT2018 : Information Retrieval and Sentiment Analysis in Tweets about Public Transportation in Île de France Region ). (10)
CORRECTNESS@SC,Towards Self-Verification in Finite Difference Code Generation. (9)
COSH/VisorHPC@HiPEAC,Towards a Lightweight RDMA Para-Virtualization for HPC. (6),On the Applicability of Virtualization in an Industrial HPC Environment. (6)
COSH@HiPEAC,Impact of the Scheduling Strategy in Heterogeneous Systems That Provide Co-Scheduling. (8)
COSH@HiPEAC (extended versions),Impact of the Scheduling Strategy in Heterogeneous Systems That Provide Co-Scheduling. (8)
COSIT,The Future of Geographic Information Displays from GIScience, Cartographic, and Cognitive Science Perspectives (Vision Paper). (11)
COSIT (Workshops/Posters),A Reference Landform Ontology for Automated Delineation of Depression Landforms from DEMs. (9)
COST 2102 Conference,Towards the Automatic Detection of Involvement in Conversation. (6),Recognition of Multiple Language Voice Navigation Queries in Traffic Situations. (6)
COST TD0904 International Workshop,What Can Be Inferred from Multiple-task Psychophysical Studies about the Mechanisms for Temporal Processing? (6)
CPA,The thirty-second Communicating Process Architectures Conference, CPA 2009, organised under the auspices of WoTUG, Eindhoven, The Netherlands, 1-6 November 2009 (8),The thirty-first Communicating Process Architectures Conference, CPA 2008, organised under the auspices of WoTUG and the Department of Computer Science of the University of York, York, Yorkshire, UK, 7-10 September 2008 (8)
CPCR+ITWP@IJCAI,Conflict Management for Constraint-based Recommendation. (5),Proceedings of the IJCAI 2015 Joint Workshop on Constraints and Preferences for Configuration and Recommendation and Intelligent Techniques for Web Personalization co-located with the 24th International Joint Conference on Artificial Intelligence (IJCAI 2015), Buenos Aires, Argentina, July 27, 2015. (5),Brute Force Works Best Against Bullying. (5)
CPM,Efficient Seeds Computation Revisited. (9),DAWGs for Parameterized Matching: Online Construction and Related Indexing Structures. (9),On-Line Pattern Matching on Similar Texts. (9),Quasi-Linear-Time Algorithm for Longest Common Circular Factor. (9)
CPP,A monadic framework for relational verification: applied to information security, program equivalence, and optimizations. (10)
CPS Summer School, PhD Workshop,A Dataflow Implementation of Inverse Kinematics on Reconfigurable Heterogeneous MPSoC. (6),Design Challenges in Hardware Development of Time-Sensitive Networking: A Research Plan. (6)
CPS-SPC@CCS,Jumping the Air Gap: Modeling Cyber-Physical Attack Paths in the Internet-of-Things. (10),Science Hackathons for Cyberphysical System Security Research: Putting CPS testbed platforms to good use. (10)
CPSM@ICSM,Measuring and visualising the quality of models. (3),Integrated modeling of process- and data-centric software systems with PHILharmonicFlows. (3)
CPSN,HelpStar Technology for Semi-Autonomous Wheelchairs. (7),Theoretical, Methodological and Technological Subsidies for Constructing an Educational and Service Platform for Deaf People. (7)
CQRE,Interoperability Characteristics of S/MIME Products. (5)
CREST Crypto-Math Project,Recent Progress on Coppersmith's Lattice-Based Method: A Survey. (3),Constructions for the IND-CCA1 Secure Fully Homomorphic Encryption. (3)
CRIS,Progress in the Implementation of the OpenAIRE Guidelines for CRIS Managers. (10)
CRIWG,BESIDE: Immersive System to Enhance Learning Within a Museum. (13)
CRW,Decision Trees and Rule Induction in Simulated Soccer Agents. (5)
CRYPTO,Factorization of a 768-Bit RSA Modulus. (13)
CRYPTO (2),The SKINNY Family of Block Ciphers and Its Low-Latency Variant MANTIS. (9)
CRiSIS,Risk analysis via heterogeneous models of SCADA interconnecting Power Grids and Telco networks. (11)
CS Press,Spezifikation grosser Objektgeflechte mit Komponentendiagrammen. (1),Inkrementelle linguistische Interpretation inkrementell erzeugter Wortgraphen. (1),Untersuchung und Entwicklung mathematischer Optimierungsverfahren zur Dimensionierung von Rechensystemen. (1),Rechnergestützte Kooperation durch Dokumente. (1),Goal-directed reasoning in clausal logic with equality. (1),Indifferenz, Unabhängigkeit und maximale Entropie: eine wahrscheinlichkeitstheoretische Semantik für nicht-monotones Schliessen. (1)
CSA,Integrated Multi Mobile Object Scheme for Ubiquitous Sensor Network. (6),Fuzzy Curvelet Based Fully Automated Segmentation of Brain from MR Images. (6)
CSAE,Honeynet Construction Based on Intrusion Detection. (7)
CSAR@SenSys,Device-free Human Activity Recognition using CSI. (7),An Efficient Variable Dimension PSO Algorithm for Mobile Node Tour Planning in WSN. (7)
CSAW,Protecting users from "themselves". (7),A flexible security architecture to support third-party applications on mobile devices. (7)
CSCL,Toward a Multi-Level Knowledge Building Innovation Network. (24)
CSCL (1),The Impact of CSCL Beyond the Online Environment. (10)
CSCWD (1),Custumer oriented virtual cooperative product design. (7)
CSDM (Posters),Accounting for Uncertainty and Complexity in the Realization of Engineered Systems. (5)
CSE (1),Location-Based Adaptive Mobile Learning Research Framework and Topics. (8),A Volunteer-Computing-Based Grid Environment for Connect6 Applications. (8)
CSE (4),Experience Search: Accessing the Emergent Knowledge from Annotated Blog Postings. (12)
CSE/EUC (2),The Design and Research of the Internet of Things Technology in the Training of Spatial Navigation Ability of Patients with Mild Cognitive Impairment. (10),A Study on the Reservoir Intelligent Inspection System Based on the Internet of Things Technology. (10)
CSEDU (3),Stamp-On: A Mobile Game for Museum Visitors. (6)
CSEE (3),Application of Constructivism Theory Explore Electronic Technology Design Course Teaching. (6)
CSERC,Evaluation of a Structured Design Methodology for Concurrent Programming. (6)
CSET @ USENIX Security Symposium,Lessons Learned from Using an Online Platform to Conduct Large-Scale, Online Controlled Security Experiments with Software Developers. (10)
CSIE (2),Internet Human Meridian Information Visualization System Based on Web Services with Adaptive Data Transfer. (6),The Pilot Way to Grid Resources Using glideinWMS. (6),Traffic Localizing Strategy for Peer-to-Peer Systems. (6),Disassembling Analysis for the Automotive Products Based on Generalized CAD Models. (6),An Expanding Products Algorithm of Logic Functions Optimization. (6),The Simulation of Heavy Metal (Cu) Contamination in Surface Soils. (6)
CSIE (5),Memory in Silico: Building a Neuromimetic Episodic Cognitive Model. (10)
CSII,Effective Fusion of Disaster-Relief Agent in RoboCupRescue Simulation. (6),Consideration of the Essential Topics for Role Estimation for AIWolf. (6)
CSISE (1),Research on the Method of Soft-sensing Intelligent Compensation for BOD Biosensors in Sewage. (7)
CSKGOI,Proceedings of the Workshop on Common Sense Knowledge and Goal-Oriented Interfaces, Canary Islands, Spain, January 13, 2008 (4)
CSMR-WCRE,The market for open source: An intelligent virtual open source marketplace. (15)
CSOC,Modern Trends and Techniques in Computer Science - 3rd Computer Science On-line Conference 2014 (CSOC 2014) (5),A New Approach to Solve the Software Project Scheduling Problem Based on Max-Min Ant System. (5),Complex Objects Remote Sensing Forest Monitoring and Modeling. (5),A Novel Texture Description for Liver Fibrosis Identification. (5)
CSOC (1),Application of Fuzzy Logic for Generating Interpretable Pattern for Diabetes Disease in Bangladesh. (7)
CSP,Communications in cellular automata (4),Proceedings International Workshop on The Complexity of Simple Programs, CSP 2008, Cork, Ireland, 6-7th December 2008. (4),Playing With Population Protocols (4)
CSPS (2),An Adaptive Iteratively Weighted Half Thresholding Algorithm for Image Compressive Sensing Reconstruction. (20)
CSREA EE,Requirements to Ensure Interoperability Between Learning Object Repositories. (8)
CSS,Towards the Evaluation of End-to-End Resilience Through External Consistency. (8),DexPro: A Bytecode Level Code Protection System for Android Applications. (8)
CSS (2),Image Denoising Based on Sparse Representation over Learned Dictionaries. (8),Research on Safety Early Warning Transmission Control Algorithm Based on Driving Stability. (8),A Secure Collision Avoidance Warning Algorithm Based on Environmental Characteristics and Driver Characteristics. (8)
CSSE,Real-time Updating Technology of Local Area Orthoimages Based on 3D Digital Earth. (6),The identification of corn leaf diseases based on transfer learning and data augmentation. (6)
CSSE (1),Game Player Strategy Pattern Recognition by Using Radial Basis Function. (7),Principle of Task-Timeout and Its Application in Embedded Systems Design. (7)
CSSE (4),Automatic SVM Kernel Function Construction Based on Gene Expression Programming. (7),Sound-Specific Vibration Interface using Digital Signal Processing. (7),The Research about the Application of Data Mining Technology Based on SLIG in the CRM. (7),Building a Practical Ontology for Emergency Response Systems. (7)
CSSSIA,Proceedings of the 2008 International Workshop on Context Enabled Source and Service Selection, Integration and Adaptation: organized with the 17th International World Wide Web Conference (WWW 2008), CSSSIA 2008, Beijing, China, April 22, 2008 (6),International Workshop on Context Enabled Source and Service Selection, Integration and Adaptation: workshop summary. (6)
CSSW,Supporting Requirements Elicitation by Semantic Preprocessing of Document Collections. (5)
CSTST,CSTST 2008: Proceedings of the 5th International Conference on Soft Computing as Transdisciplinary Science and Technology, Cergy-Pontoise, France, October 28-31, 2008 (8),Resources annotation, retrieval and presentation: a semantic annotation management system. (8),How can ontologies support enterprise digital and paper archives?: a case study. (8)
CSTVA@ISSTA,Towards Automated Bounded Model Checking of API Implementations. (4)
CSWS,Towards Evaluating the Impact of Semantic Support for Curating the Fungus Scientic Literature. (10)
CSWS@SIGCOMM,Network assisted rate adaptation for conversational video over LTE, concept and performance evaluation. (5)
CSWWS,DatalogDL: Datalog Rules Parameterized by Description Logics. (5)
CSoNet,Trust Evaluation Based Friend Recommendation in Proximity Based Mobile Social Network. (11)
CTGDSD@ICSE,Teaching software engineering using globally distributed projects: the DOSE course. (8)
CTS@GIS,Proximity queries in time-dependent traffic networks using graph embeddings. (4)
CTS@SIGSPATIAL,Towards a Flexible and Scalable Fleet Management Service. (6)
CTSE@SIGSOFT FSE,MORPH: a reference architecture for configuration and behaviour self-adaptation. (5)
CUBE,HENRI: high efficiency negotiation-based robust interface for multi-party multi-issue negotiation over the internet. (6),The changing nature of Spam 2.0. (6),Visualizing semantic web. (6)
CVAMIA,Quantification of Growth and Motion Using Non-rigid Registration. (11)
CVAUI/IWCF/MIPPSNA@ICPR,Overview of the Multimedia Information Processing for Personality & Social Networks Analysis Contest. (8)
CVDB,Multimedia applications: beyond similarity searches. (6),Multi-Vector Feature Space Based on Pseudo-Euclidean Space and Oblique Basis for Similarity Searches of Images. (6),CVDB 2004 Panel: Future Applications and Solutions. (6)
CVIP (1),Retinal-Layer Segmentation Using Dilated Convolutions. (7)
CVM,Decomposition Equation of Basis Images with Consideration of Global Illumination. (6),Accurate Depth-of-Field Rendering Using Adaptive Bilateral Depth Filtering. (6)
CVPR (1),Estimation, Smoothing, and Characterization of Apparent Diffusion Coefficient Profiles from High Angular Resolution DWI. (9),Feature Selection for Evaluating Fluorescence Microscopy Images in Genome-Wide Cell Screens. (9),Overview of the Face Recognition Grand Challenge. (9)
CVSM@ACL,A Structured Distributional Semantic Model : Integrating Structure with Semantics. (6)
CWIT,Image Retrieval via Canonical Correlation Analysis. (7)
CYBCONF,The biovid heat pain database data for the advancement and systematic validation of an automated pain recognition system. (9),Similarity analysis based on sparse representation for protein sequence comparison. (9)
CaCoA,The Role of Context Models in Association with Flexible Design Processes - Position Paper. (3),Implicit Profiling for Contextual Reasoning About Users' Spatial Preferences. (3)
Calculemus,The development of interactive algorithms for the Mathematical Environment. (6)
Calculemus/MKM,Licensing the Mizar Mathematical Library. (6),From Tessellations to Table Interpretation. (6)
Cambridge Scholars Publishing,Challenges of Discourse Processing - The Case of Technical Documents. (1)
Campus-Verlag,Die Herrschaft der Regel: zur Grundlagengeschichte des Computers. (1),Information und Entropie: ökologische Perspektiven des Übergangs zu einer Informationswirtschaft. (1),Politische Projekte im Internet: Online-Kommunikation und politische Öffentlichkeit. (1),Informatik und Grossforschung: Geschichte der Gesellschaft für Mathematik und Datenverarbeitung. (1),Soziale Alternativen in Zahlungsnetzen. (1),Computer oder Stöckelschuh?: Eine empirische Untersuchung über Mädchen am Computer. (1),Mensch-Maschine-Kommunikation: Software, Gestaltungspotentiale, Sozialverträglichkeit. (1),Die sozio-ökonomischen Folgen des Computereinsatzes: Konsequenzen aus dem Ende des Technikdeterminismus. (1),Film und Computer: wie digitale Bilder den Spielfilm verändern. (1)
Capacity Building for IT in Education in Developing Countries,Information technology and problem solving in mathematics education. (3)
Casemans@Pervasice,Proceedings of the 3rd ACM International Workshop on Context-Awareness for Self-Managing Systems, Casemans@Pervasice 2009, Nara, Japan, May 11, 2009 (2)
Cassting/SynCoP,Two-Buffer Simulation Games. (5),A Web-based Tool for Identifying Strategic Intervention Points in Complex Systems. (5),Proceedings Cassting Workshop on Games for the Synthesis of Complex Systems and 3rd International Workshop on Synthesis of Complex Parameters, Cassting/SynCoP 2016, Eindhoven, The Netherlands, April 2-3, 2016. (5),Efficient Energy Distribution in a Smart Grid using Multi-Player Games. (5)
Cause Effect Pairs in Machine Learning,Learning Bivariate Functional Causal Models. (4),Non-linear Causal Inference Using Gaussianity Measures. (4),Discriminant Learning Machines. (4)
Cellular Computing,The Biology of Integration of Cells into Microscale and Nanoscale Systems. (6)
Certification and Security in E-Services,Protecting Applications Against Malice Using AdaptiveMiddleware. (5)
Challenged Networks,Network interrupts: supporting delay sensitive applications in low power wireless control networks. (7)
Challenges in Computational Statistics and Data Mining,Network Capacity Bound for Personalized Bipartite PageRank. (4),Adaptive Monte Carlo Maximum Likelihood. (4)
Chance Discovery,The PreparedMind: the Role of Representational Change in Chance Discovery. (4)
Chaotic Signal Processing,Logic from Dynamics. (4)
Chapman & Hall / Taylor & Francis,Handbook of Graph Theory. (2)
Chapman and Hall/CRC,Handbook of Elliptic and Hyperelliptic Curve Cryptography. (7)
Chic. J. Theor. Comput. Sci.,Complements of Multivalued Functions. (6),Supporting Increment and Decrement Operations in Balancing Networks. (6)
ChinaCom,A design of FPGA-based DSRC receiver. (8)
ChinaCom (1),A Novel OFDM Scheme for VLC Systems Under LED Nonlinear Constraints. (7),Master Controller Election Mechanism Based on Controller Cluster in Software Defined Optical Networks. (7),Integer-Forcing Detection of Generalized Spatial Modulation. (7),DICOM-Fuzzer: Research on DICOM Vulnerability Mining Based on Fuzzing Technology. (7)
ChinaGrid,EDGeS: A Bridge between Desktop Grids and Service Grids. (16)
ChinaSIP,New wireless acoustic array node for localization, beamforming and source separation for bio-complexity bird data collection and study. (9),Cough signal recognition with Gammatone Cepstral Coefficients. (9)
Chronos,Eine Welt im Datenrausch: Computeranlagen und Datenmengen als gesellschaftliche Herausforderung in der Bundesrepublik Deutschland (1965-1975). (1)
Chua's Circuit,Experimental Demonstration of Secure Communications via Chaotic Synchronization. (5),Transmission of Digital signals by Chaotic Synchronization. (5)
Circuits Syst.,Integrated Off-Line Ballast for High Brightness LEDs with Dimming Capability. (6)
Circuits, Logic, and Games,Proof Complexity of Propositional Default Logic. (5)
Circuits, Signals, and Systems,Modeling and simulation of high capacitance ratio RF MEMS shunt switch. (6),Streaming scratchpad memory organization for video applications. (6),Narrow band cross-coupled microstrip filter using miniaturized hairpin resonators. (6),A heart murmur detection system using spectrograms and artificial neural networks. (6)
CitRec@RecSys,Bumblebee friendly planting recommendations with citizen science data. (9)
CitiSens,Transportation Planning Based on GSM Traces: A Case Study on Ivory Coast. (8)
Classes of Directed Graphs,Digraphs of Bounded Width. (2),Planar Digraphs. (2),Basic Terminology, Notation and Results. (2),Miscellaneous Digraph Classes. (2),Quasi-Transitive Digraphs and Their Extensions. (2),Tournaments and Semicomplete Digraphs. (2)
Classification, Pattern Recognition and Reduction of Dimensionality,25 Continuous speech recognition: Statistical methods. (3),16 Structural methods in image analysis and recognition. (3),32 Covariance matrix representation and object-predicate symmetry. (3),20 A unifying viewpoint on pattern recognition. (3),11 Cluster analysis software. (3)
Cloud-I,An efficient and secure data sharing framework using homomorphic encryption in the cloud. (4),Anonyfrag: an anonymization-based approach for privacy-preserving BPaaS. (4)
CloudDB@CIKM,The Yahoo!: cloud datastore load balancer. (8)
CloudDP@EuroSys,Storage and performance optimization of long tail key access in a social network. (8)
CloudNet,Internet of Robotic Things: Context-Aware and Personalized Interventions of Assistive Social Robots (Short Paper). (11)
Clust. Comput.,A Collaborative Informatics Infrastructure for Multi-Scale Science. (28)
CoBuild,The Aware Home: A Living Laboratory for Ubiquitous Computing Research. (9)
CoCoME,Modelling with Relational Calculus of Object and Component Systems - rCOS. (13)
CoLIS,et al.: Collaboration Services in a Participatory Digital Library: An Emerging Design. (6)
CoNEXT Companion,Fast Multi-string Pattern Matching using PISA. (7),Efficient Microservices with Elastic Containers. (7)
CoNLL Shared Task (2),CoNLL 2017 Shared Task: Multilingual Parsing from Raw Text to Universal Dependencies. (62)
CoRoNet@MOBICOM,Versatile sensing for mobile devices: cost, performance and hardware prototypes. (6)
CoSECivi,¿Puede un videojuego ayudarnos a predecir los resultados de aprendizaje? (7),Living-UGR: Una Aventura Gráfica Geolocalizada para Difundir el Patrimonio de la Universidad de Granada. (7)
Coalgebraic Logics,Coalgebraic Logics, 06.12. - 09.12.2009 (2),09502 Abstracts Collection - Coalgebraic Logics. (2)
Code Generation for Embedded Processors,Challenges in code generation for embedded processors. (8)
Codes for Boundary-Value Problems in Ordinary Differential Equations,Workshop: Selection of Shooting Points. (6)
Coding Theory and Applications,Experimental direct-sequence spred-spectrum digital mobile radio transmission. (5),Concatenated coding schemes for HF channels. (5)
CogMI,GRAHIES: Multi-Scale Graph Representation Learning with Latent Hierarchical Structure. (11)
CogRob@AAAI,Augmenting the Reachable Space in the NAO Humanoid Robot. (4),Plan Recognition by Program Execution in Continuous Temporal Domains. (4),Cognitive Robotics Using the Soar Cognitive Architecture. (4),Personalized Guided Tour by Multiple Robots through Semantic Profile Definition and Dynamic Redistribution of Participants. (4),Cognitive Robotics, Papers from the 2012 AAAI Workshop, CogRob@AAAI 2012, Toronto, Ontario, Canada, July 22-23, 2012 (4)
CogRob@KR,Which tool to use? Grounded reasoning in everyday environments with assistant robots. (11)
"COIN@AAMAS/PRICAI,Coordination, Organizations, Institutions, and Norms in Agent Systems X - COIN 2014 International Workshops, COIN@AAMAS, Paris, France, May 6, 2014, COIN@PRICAI, Gold Coast, QLD, Australia, December 4, 2014, Revised Selected Papers (4)
"DepCoS-RELCOMEX,Theory and Engineering of Complex Systems and Dependability - Proceedings of the Tenth International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, June 29 - July 3 2015, Brunów, Poland (5),Proceedings of the Ninth International Conference on Dependability and Complex Systems DepCoS-RELCOMEX. June 30 - July 4, 2014, Brunów, Poland (5),New Results in Dependability and Computer Systems - Proceedings of the 8th International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, September 9-13, 2013, Brunów, Poland (5)
"MUSA2@MM,Proceedings of the Workshop on Multimodal Understanding of Social, Affective and Subjective Attributes, MUSA2@MM 2017, Mountain View, CA, USA, October 27, 2017 (6)
"NetSci-X,Advances in Network Science - 12th International Conference and School, NetSci-X 2016, Wroclaw, Poland, January 11-13, 2016, Proceedings (4)
(KNOW@LOD/CoDeS)@ESWC,Joint Proceedings of the 5th Workshop on Data Mining and Knowledge Discovery meets Linked Open Data and the 1st International Workshop on Completing and Debugging the Semantic Web (Know@LOD-2016, CoDeS-2016) co-located with 13th ESWC 2016, Heraklion, Greece, May 30th, 2016. (7)
35 Years of Fuzzy Set Theory,Fuzzy Techniques in Image Processing at Ghent University: Summary of a 12-Year Journey. (5)
3D Image Processing, Measurement (3DIPM), and Applications,Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation. (8)
3DPVT,Towards Urban 3D Reconstruction from Video. (18)
40 Years EMISA,Carinthia University of Applied Sciences - AAL Research. (7)
4OR,Operator non-availability periods. (7)
